vp,month,1,2,3,4,5,6,7,8,9,10,11,12
226,8,1,1,1,1.0,0.0,2.0,3.0,2.0,,,,
226,9,1,1,3,1.0,1.0,0.0,2.0,2.0,3.0,,,
226,10,1,1,1,1.0,0.0,3.0,2.0,2.0,3.0,,,
226,11,1,1,1,1.0,0.0,2.0,2.0,2.0,2.0,,,
226,12,1,1,1,1.0,0.0,2.0,,,,,,
230,1,1,0,0,1.0,3.0,2.0,1.0,3.0,3.0,3.0,,
230,2,2,3,3,3.0,1.0,0.0,3.0,3.0,,,,
230,3,1,1,0,1.0,1.0,3.0,2.0,2.0,3.0,3.0,,
230,4,1,1,3,3.0,1.0,1.0,0.0,3.0,2.0,3.0,2.0,
230,5,1,1,2,2.0,0.0,1.0,1.0,2.0,2.0,2.0,,
